company,Date,text
TWTR,2017-10-04,"Twitter, Inc. (TWTR) price at close, October 04, 2017, is 17.71 USD. #Stocks #Twitter #TWTR"
TWTR,2017-10-04,"#ShadowBan On #AltRight
AtLeastAsFarAs #AntiFa
#SuchAsMyself.
#WhichMeans #Commercialization
Of The #AltRight(#AltNazis)By
#JackDorsey:#Twtr pic.twitter.com/FsKZTfu6lH"
TWTR,2017-10-05,"#Sept30 #Twtr:#JackDorsey
#Liabled #AntiFa With
#Slander From
#StevenCrowder&
#RobertMercer
PriorToThatWas
#PaulJosephWatson
#RupertMurdoch&pic.twitter.com/fn4H0c821l"
TWTR,2017-10-05,"M technical work has been almost useless last few weeks. At times that happens. The frustration u hear on #TWTR is a sign that not much is working. $SPX $NDX"
TWTR,2017-10-05,"#Twitter Is Now Using #AI to Recommend #Tweets (#TWTR) http://hashnewsgram.com/  #cnn #bbc #fox #cnbcpic.twitter.com/tUiXiUDzGq"
TWTR,2017-10-05,"Twitter downgraded by Vetr Inc. to buy. $19.82 PT. http://ift.tt/2kmmoqK  $TWTR #TWTR"
TWTR,2017-10-05,"Twitter downgraded by Vetr Inc. to buy. $19.82 PT. http://ift.tt/2kmmoqK  $TWTR #TWTR"
TWTR,2017-10-05,"Twitter downgraded by Vetr Inc. to buy. $19.82 PT. http://ift.tt/2kmmoqK  $TWTR #TWTR"
TWTR,2017-10-05,"Something driving #twtr shares nicely, going to jump ship at $20"
TWTR,2017-10-05,"#ICIJ Was #Muzzled By
#Twtr #Social_Media Over
#Сорос #QuantumGroupOfFunds
And #SorosCapital
#ArmsFirms #ArmsSales
#ArmsIndustry
#BloodMoney"
TWTR,2017-10-05,"UDont #WantRefugees?
#StopMakingRefugees.
Allow
#RestOfUs #NotHeartless&
Not #Homofóbico #RacistJerks
Like>#JackDorsey:#Twtr 2 #HelpRefugeespic.twitter.com/1LpYW6x8tf"
TWTR,2017-10-05,"Twitter #twtr what is the problem? @nigelcameron lays it out.https://twitter.com/nigelcameron/status/915935246117478400 …"
TWTR,2017-10-05,"Sold #TWTR for roughly 10% gain. Heard Grandpa's voice in my ear ""When flies, duck"" $SPX $NDX $IWM LOL probably get's taken over tomw"
TWTR,2017-10-05,"$twtr $dis #buyout #twtr #nyse #stock Disney's CEO Bob Iger says that the company was considering purchasing Twitterhttp://www.moneycontrol.com//news/business/disneys-ceo-bob-iger-says-that-the-company-was-considering-purchasing-twitter-2405881.html/news/business/disneys-ceo-bob-iger-says-that-the-company-was-considering-purchasing-twitter-2405881.html …"
TWTR,2017-10-05,"Twitter, Inc. (TWTR) price at close, October 05, 2017, is 18.25 USD. #Stocks #Twitter #TWTR"
TWTR,2017-10-05,"@JonesysJukebox Liked your show. If you don't like page citations, may I suggest lobbying @Twitter @Policy #TWTR for sub-window for credits."
TWTR,2017-10-05,"#JackDorsey:#Twtr
WantsU2
'ForgetAbout'
#DylanRoof #DylannRoof
&Assoc. #HateGroups
#FatChanceOfThat
#AskYourself
#WhatDoesThatMean
#AndWhy?"
TWTR,2017-10-05,"Uh, yea, that's how #FB and #TWTR work. Spending 450k can generate Tens of Millions of ""eyeballs."" #Russiagate #TeamTrump #GOPcollusion"
TWTR,2017-10-06,"Mre #AutoComplete
#JackDorsey:#Twtr #Slander
#Attacking #AntiFa:#AntiFascists
ReallyWant2(Use #FullWord:#CWord)
InRegardTo #Connard @Jack Topic.twitter.com/5womK9Hx0M"
TWTR,2017-10-06,"Twitter upgraded by BidaskClub to buy. http://ift.tt/2hSkxsU  $TWTR #TWTR"
TWTR,2017-10-06,"Twitter upgraded by BidaskClub to buy. http://ift.tt/2hSkxsU  $TWTR #TWTR"
TWTR,2017-10-06,"Twitter upgraded by BidaskClub to buy. http://ift.tt/2hSkxsU  $TWTR #TWTR"
TWTR,2017-10-06,"Will we get another green day ? #Twitter #twtr"
TWTR,2017-10-06,"Expect rallies in $SAEX and $FCSC today,due to the day of the week among other factors. #FB #TWTR"
TWTR,2017-10-06,"For the best analysis of the U.S. employment #s look to the #Bond mkt $ZB_Z and not #CNBC or #TWTR. $SPX $NDX $IWMpic.twitter.com/25F3twZIbq"
TWTR,2017-10-06,"Going to have to refuse, but I know  you'll survive.. You can't complain abt #TWTR analysis of employment #s and then give one. LOL"
TWTR,2017-10-06,"Hangin' on til 5:15! #twtr http://ift.tt/2xmfmZl pic.twitter.com/hZhQ166lRR"
TWTR,2017-10-06,"#TWTR  تحديث pic.twitter.com/EyIaLdQ1nE"
TWTR,2017-10-06,"Twitter, Inc. #TWTR drops 2.99% Currently at 17.705. http://ift.tt/HHCQtT "
TWTR,2017-10-06,"Watch #TWTR closely next week
GLTA
$TWTR
#FoxInTown"
TWTR,2017-10-06,"Twitter, Inc. (TWTR) price at close, October 06, 2017, is 17.85 USD. #Stocks #Twitter #TWTR"
TWTR,2017-10-07,"#OkS
#JackDorsey:#Twtr
IsStill #ShadowBanning
4 #SaudiDictator #KingSalman
#AlWaleed:#KingdomOfSaudiArabia
#AsExpected
#WayAroundThat Thoughpic.twitter.com/JJATvSM4RX"
TWTR,2017-10-07,"1/x #UrlBan
OnStoryFrom 
@Independent
#ProvesThat
#JackDorsey & #Twtr
Are #Homophobie And #RacistAssholes
https://twitter.com/frogsarelovely/status/915434834205519872 …
ISuspect"
TWTR,2017-10-07,"#eStocks #performance #chart: #NFLX v #FB v #AAPL v #AMZN v #MSFT v #GOOG v #TWTR. http://bit.ly/2x3FpnL  #1ab #Netflix #Facebook #Amazonpic.twitter.com/0PgwOlfUKh"
TWTR,2017-10-07,"Largest #Insider trades of the month, #Twitter Inc. #TWTR https://www.gurufocus.com/news/572886/affid/152113 …"
TWTR,2017-10-07,"#FB #Twtr most potent #Cyberwarfare weapon of infoage http://bit.ly/2xqlFG9  #Democrats #Republic must focus on 2020 #cybersecurity #hackpic.twitter.com/2lLVIycei7"
