company,Date,text
AMZN,2017-10-03,"Hey #retailers. Innovate or die. Create experiences or lose to #Amzn. Adopt #retailtech. Or Chap 11 like #toysrus https://www.facebook.com/gary/videos/10155696521313350/ …"
AMZN,2017-10-03,"Whole Foods price cuts hit hardest at Trader Joe's, Sprouts: study
http://www.reuters.com/article/us-amazon-wholefoods-competition/whole-foods-price-cuts-hit-hardest-at-trader-joes-sprouts-study-idUSKCN1C80SC …
$AMZN #AMZN"
AMZN,2017-10-03,"EU to reform sales tax, end appeal of low-rate states in blow to #Amazon | Article [AMP] | Reuters #amzn http://mobile.reuters.com/article/amp/idUSKCN1C81KE …"
AMZN,2017-10-03,"#XVG has recently moved to all-time highs. #Investimentresearch & a positive when economic bellwethers like #AAPL, #AMZN, #FB, #GOOGL, #NVDA"
AMZN,2017-10-03,"Lets get ready to rumble!!! In this corner #amzn and in this corner we have #wmt fighting for the American retail heavyweight title."
AMZN,2017-10-03,"Walmart is rising after announcing its latest jab in the fight against http://zentrade.online/walmart-is-rising-after-announcing-its-latest-jab-in-the-fight-against-amazon/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter … #amazon #amzn #company #food #news #Options"
AMZN,2017-10-03,"What If Amazon Would Start Accepting #bitcoin Payments? #AMZN #GS #JPM #COIN #GBTC $AMZN https://seekingalpha.com/article/4111442-amazon-start-accepting-bitcoin-payments …pic.twitter.com/FIiwOBSBMK"
AMZN,2017-10-03,"Would Amazon Accepting #bitcoin Lead To The Breakthrough Of Cryptocurrency? #AMZN #GS #JPM https://seekingalpha.com/article/4111442-amazon-accepting-bitcoin-lead-breakthrough-cryptocurrency …pic.twitter.com/4229uU2u4G"
AMZN,2017-10-03,"$baba ($451B) 

soon to have a bigger market cap than 

$amzn ($459B)

#Paradigmshift #china #amzn #baba #jackma #JeffBezos"
AMZN,2017-10-03,"Trust is all that will free a little girl of her silent prison. Killing Secrets, KL Docter #AMZN #ilovebooks #bookPRhttp://amzn.com/B00JPQ5ZVO/?tag=wwwkarendocte-20 …"
AMZN,2017-10-03,"Checkout my latest #Blog post: http://www.brtechnicals.com/future-of-fang 
#fb #amzn #goog #nflx #StockMarket #investing #netflix #brtechnicals #Trading #WSJ"
AMZN,2017-10-03,"You can grow a small account trading #SPX #SPY #GLD #AAPL #TSLA #NFLX #GOOGL #AMZN #BBRY #PCLN #VIX
http://www.tradewithjoe.com/chat/ 
#optionspic.twitter.com/d8Vzne9zc0"
AMZN,2017-10-03,"Final #AMZN #PutCallRatios for Tuesday, October 3, 2017 http://dlvr.it/PsBWGJ pic.twitter.com/WlbbDGLjFr"
AMZN,2017-10-03,"Final #AMZN #PutCallRatios for Tuesday, October 3, 2017 http://dlvr.it/PsBWKd pic.twitter.com/TFqmB1fHZ7"
AMZN,2017-10-03,"Final #AMZN #PutCallRatios for Tuesday, October 3, 2017 http://dlvr.it/PsBWLQ pic.twitter.com/SBd5UfUc1p"
AMZN,2017-10-04,"Uh, whoops...
#amazon #whoops #prime #AmazonPrime #amzn #spending #money Via Instagram - follow! http://ift.tt/2hLJq9R pic.twitter.com/yiqie0Q8p0"
AMZN,2017-10-04,"EU Competition Commissioner @vestager wil hold a press conference this morning at 11:30am CEST
#Amazon #AMZN"
AMZN,2017-10-04,"EU Competition Commissioner @vestager wil hold a press conference this morning at 11:30am CEST
#Amazon #AMZN"
AMZN,2017-10-04,"EU Competition Commissioner @vestager wil hold a press conference this morning at 11:30am CEST
#Amazon #AMZN"
AMZN,2017-10-04,"EU orders Amazon to pay €250 million in back taxes to Luxembourg
http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/9_ujSvAx7lE/story.aspx …
$AAPL #AAPL $AMZN #AMZN"
AMZN,2017-10-04,"$AMZN if I remember correctly, #AMZN made $146 million net income last quarter. if they pay $295 mil to #EU, that will be a loss next Q."
AMZN,2017-10-04,"Amazon's Alexa and Echo available in India, coming to Japan
http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/Mt8cxd98b4k/story.aspx …
$SPX #SPX $AMZN #AMZN $VICE #VICE"
AMZN,2017-10-04,"oh boy, another great service from #amzn Polly #tts http://ift.tt/2gIypUo  >http://ift.tt/2hOlHWB "
AMZN,2017-10-04,"EU orders $300 million in back taxes against #AMZN. Going back to 2003! 
#taxterrorism?
@dhume @MinhazMerchant @RajeevSrinivasa @sankrant"
AMZN,2017-10-04,"Amazon No Match For The 'Costco Experience' http://dlvr.it/PsKsGp  #AMZN #DKSpic.twitter.com/1zenndJgbr"
AMZN,2017-10-04,"Trading #options all major tickers #AAPL #AMZN #BABA #BIDU #CMG #FB #GOOGL #TSLA, etc, with Intraday #SPX. For educational purposes only."
AMZN,2017-10-04,"Well said, #amzn is an empire.. no one touch it in the near future"
AMZN,2017-10-04,"Google launches new phones, speakers in hardware push
http://www.reuters.com/article/us-alphabet-hardware/google-launches-new-phones-speakers-in-hardware-push-idUSKBN1C92IQ …
$AAPL #AAPL $AMZN #AMZN $GOOG #GOOG $GOOGL #GOOGL"
AMZN,2017-10-04,"Canada could be right fit for Amazon HQ2, says Colliers. http://bit.ly/2k3N5k1  #AMZN Via @VancouverSun"
AMZN,2017-10-04,"You can grow a small account trading #SPX #SPY #GLD #AAPL #TSLA #NFLX #GOOGL #AMZN #BBRY #PCLN #VIX
http://www.tradewithjoe.com/chat/ 
#optionspic.twitter.com/xo8RGGPkUu"
AMZN,2017-10-04,"Final #AMZN #PutCallRatios for Wednesday, October 4, 2017 http://dlvr.it/PsQT9D pic.twitter.com/89pfj0Gk20"
AMZN,2017-10-04,"Final #AMZN #PutCallRatios for Wednesday, October 4, 2017 http://dlvr.it/PsQT9Y pic.twitter.com/F37jR2o18y"
AMZN,2017-10-05,"Google Launches 8 New Products -- What You Need to Know http://dlvr.it/PsRTsk  #AAPL #AMZN #GOOGLpic.twitter.com/ZJQf4iI7xL"
AMZN,2017-10-05,"Sonos launches Amazon Alexa-enabled smart speaker #Google: RCL.NO #AMZN.US #United States #NASDAQ 100 Components https://www.dukascopy.com/refpro/in.php?aHR0cHM6Ly93d3cuZHVrYXNjb3B5LmNvbS9meHNwaWRlci9lbi81MDcxNjQ5MTUxNjk0Mzg0NjY3Lz91dG1fc291cmNlPXR3aXR0ZXImdXRtX21lZGl1bT1zb2NpYWwmdXRtX2NhbXBhaWduPWZ4c3BpZGVyJTIwdHdpdHRlciUyMHBvc3RpbmcKc3BwLXR3LVNwaWRFTg== …"
AMZN,2017-10-05,"Big Five Chart Service for Wednesday now posted http://theartofchart.net  #AMZN #AAPL #FB #NFLX #TSLA"
AMZN,2017-10-05,"Pluses & Minuses of the Innovation Economy https://youtu.be/ukQTJ_iOQ4g  #Amazon #AMZN @GALI130 @IHubRadio @karaemiller @g_m_hodgson @GOVERNING"
AMZN,2017-10-05,"#AMZN Clear, but market keeps propping it up.. Correction well over due pic.twitter.com/CVvfNWC64j"
AMZN,2017-10-05,"The once slim and lean #AMZN desperate to load up on more overheads https://twitter.com/fiatcurrency/status/915866135911960576 …"
AMZN,2017-10-05,"The moral of the story: Don't make illegal deals with #Luxembourg https://qz.com/1094137/amazon-eu-taxes-how-to-keep-track-of-all-the-eus-major-tax-and-antitrust-decisions/ … #Amzn #Amazon #EU"
AMZN,2017-10-05,"Indeed, @Natalie_Berg! There's plenty of @Amazon #AMZN #retailtech activity to talk about. Looking forward to it! At 3pm UK/10am ET tomorrowhttps://twitter.com/Natalie_Berg/status/915919590793924608 …"
AMZN,2017-10-05,"Think what would have been if #MSFT just bought #AMZN when it would public back in its first year"
AMZN,2017-10-05,"Is Blue Apron's Best Chance of Surivival an Acquisition? http://dlvr.it/PsZGYv  #AMZN #WMT #KRpic.twitter.com/fCYjVOgHmb"
AMZN,2017-10-05,"@jimcramer booyah!!  Is #AMZN a buy at these levels?  Thanks in advance #madtweets"
AMZN,2017-10-05,"#BGO an interesting one. It's still loss making but growing Revenue fast and Japan deal with #AMZN doing well. Patchy track record though."
AMZN,2017-10-05,"Amazon Buys Body Labs, A 3D Body-Scanning Tech Startup     http://nnw.fm/ACcq6  #amzn http://fb.me/1nDZbEpK7 "
AMZN,2017-10-05,"Amazon Buys Body Labs, A 3D Body-Scanning Tech Startup     http://dtn.fm/ze1Ba  #amzn http://fb.me/1isulbI9f "
AMZN,2017-10-05,"Amazon Buys Body Labs, A 3D Body-Scanning Tech Startup     http://dtn.fm/ze1Ba  #amzn http://fb.me/CXhu1P1s "
AMZN,2017-10-05,"Amazon Buys Body Labs, A 3D Body-Scanning Tech Startup     http://dtn.fm/ze1Ba  #amzn http://fb.me/8eOYcvv4i "
AMZN,2017-10-05,"Amazon Buys Body Labs, A 3D Body-Scanning Tech Startup     http://dtn.fm/ze1Ba  #amzn http://fb.me/1wv6wWpLt "
AMZN,2017-10-05,"Amazon Buys Body Labs, A 3D Body-Scanning Tech Startup     http://dtn.fm/ze1Ba  #amzn http://fb.me/3hPLmjDaJ "
AMZN,2017-10-05,"Amazon Buys Body Labs, A 3D Body-Scanning Tech Startup     http://dtn.fm/ze1Ba  #amzn http://fb.me/2nnutGgaA "
AMZN,2017-10-05,"Amazon Buys Body Labs, A 3D Body-Scanning Tech Startup     http://dtn.fm/ze1Ba  #amzn http://fb.me/8ZkuHvOys "
AMZN,2017-10-05,"Amazon Buys Body Labs, A 3D Body-Scanning Tech Startup     http://dtn.fm/ze1Ba  #amzn http://fb.me/8sW6asYI3 "
AMZN,2017-10-05,"Amazon Buys Body Labs, A 3D Body-Scanning Tech Startup     http://dtn.fm/ze1Ba  #amzn http://fb.me/1h2bF72BC "
AMZN,2017-10-05,"Amazon Buys Body Labs, A 3D Body-Scanning Tech Startup     http://dtn.fm/ze1Ba  #amzn http://fb.me/zRt3OXV2 "
AMZN,2017-10-05,"Amazon Buys Body Labs, A 3D Body-Scanning Tech Startup     http://dtn.fm/ze1Ba  #amzn http://fb.me/8H4eHB2pj "
AMZN,2017-10-05,"Amazon Buys Body Labs, A 3D Body-Scanning Tech Startup     http://dtn.fm/ze1Ba  #amzn http://fb.me/1hHIGxnRb "
AMZN,2017-10-05,"These newly granted patents for #AMZN will allow UAVs from its #Prime Air fleet to deliver energy to vehicles at rest or while in use.pic.twitter.com/fdyruYv4SI"
AMZN,2017-10-05,"U.S. Internet ETF Could be a Q4 Star - https://goo.gl/SNnSzk  #AMZN #EquityEtfs #FB #FDN #GOOG #NFLX #PNQIpic.twitter.com/AdT0c2slOz"
AMZN,2017-10-05,"U.S. Internet ETF Could be a Q4 Star - https://goo.gl/SNnSzk  #AMZN #EquityEtfs #FB #FDN #GOOG #NFLX #PNQIpic.twitter.com/nqF6k2kkUe"
AMZN,2017-10-05,"U.S. Internet ETF Could be a Q4 Star http://dlvr.it/Psbx7G  #EquityETFs #AMZN #equityetfs #FB #FDN"
AMZN,2017-10-05,"The latest Photography Junkie! http://paper.li/dukebarrett?edition_id=533a27f0-aa08-11e7-9278-0cc47a0d1609 … #getitlive #amzn"
AMZN,2017-10-05,"Wow. Did @profgalloway really just call this #AMZN infrastructure strategy in Chapter 2 of #thefourbook ?!https://www.cnbc.com/2017/10/05/ups-fedex-shares-drop-on-fears-amazon-will-disrupt-them-with-its-own-delivery-service.html …"
AMZN,2017-10-05,"CAN ANYONE BEAT JEFF BEZOS? https://www.vanityfair.com/news/2017/10/new-establishment-list-disruption … #AMZN #Amazon #business #economy"
AMZN,2017-10-05,"You can grow a small account trading #SPX #SPY #GLD #AAPL #TSLA #NFLX #GOOGL #AMZN #BBRY #PCLN #VIX
http://www.tradewithjoe.com/chat/ 
#optionspic.twitter.com/5VtOuSIYAz"
AMZN,2017-10-05,"Final #AMZN #PutCallRatios for Thursday, October 5, 2017` http://dlvr.it/PsfnzP pic.twitter.com/8SsYAXavpS"
AMZN,2017-10-05,"Final #AMZN #PutCallRatios for Thursday, October 5, 2017` http://dlvr.it/Psfp2X pic.twitter.com/vbk7EGbjyp"
AMZN,2017-10-05,"$AMZN #amzn < STUDY the Charts > Precision Tactical Traders RoadMap : No Emotional Bluster  pic.twitter.com/uTqk8M5Tqe"
AMZN,2017-10-06,"$AMZN #amzn #amazonpic.twitter.com/llsasiym2Y"
AMZN,2017-10-06,"""MUST read!"" SATIN PLEASURES #RomanticComedy by Karen Docter ROMCON Reader's Crown finalist #BookBuzz #AMZN http://amzn.com/B0078VSY6G/?tag=wwwkarendocte-20 …"
AMZN,2017-10-06,"#freebook Seventh Dimension - The Door, 5X award winner  #IARTG #BYNR #CR4U #Amzn http://bit.ly/LPDoor pic.twitter.com/V943y6jmqy"
AMZN,2017-10-06,"The Market In 5 Minutes: Shopify, Equifax And More http://dlvr.it/PslLPB  #AAPL #AMZN #AndrewLeft #BIIB #CELG #PreMarket #Markets"
AMZN,2017-10-06,"Technical Analysis on #EMG #CVSG #GSAT #AMZN - 6th October https://youtu.be/RPDqwGesSvM  via @YouTube #STOCKTRADING #STOCKCHARTS #CHARTING"
AMZN,2017-10-06,"#AMZN looks buyable this week. This weekly chart shows that $AMZN got supported at its 40wk line… https://www.instagram.com/p/BZ55-64hJha/ "
AMZN,2017-10-06,"The Market In 5 Minutes: First Jobs Loss In 7 Years, But… http://dlvr.it/Psnsmw  #ALB #AMZN #APC #KHC #Marketin5minutes #PreMarket #Markets"
AMZN,2017-10-06,"Walmart is playing catch up with #AMZN its reactive @FoxBusiness"
AMZN,2017-10-06,"$AMZN #AMZN $QQQ <STUDY the Charts> TACTICAL Not Emotional Tradingpic.twitter.com/T0HqZuHZyw"
AMZN,2017-10-06,"Amazon Is Testing Its Own Delivery Service to Rival FedEx and UPS [VIDEO] http://nnw.fm/3rcbO  #amzn http://fb.me/1vyszP7Wk "
AMZN,2017-10-06,"Amazon Is Testing Its Own Delivery Service to Rival FedEx and UPS [VIDEO]  http://dtn.fm/lKn5X  #amzn http://fb.me/1BwcEubqn "
AMZN,2017-10-06,"Amazon Is Testing Its Own Delivery Service to Rival FedEx and UPS [VIDEO]  http://dtn.fm/lKn5X  #amzn http://fb.me/1qZaex51I "
AMZN,2017-10-06,"Amazon Is Testing Its Own Delivery Service to Rival FedEx and UPS [VIDEO] http://dtn.fm/lKn5X  #amzn http://fb.me/1AHgmXUnJ "
AMZN,2017-10-06,"Amazon Is Testing Its Own Delivery Service to Rival FedEx and UPS [VIDEO]  http://dtn.fm/lKn5X  #amzn http://fb.me/yFLO7SMT "
AMZN,2017-10-06,"Amazon Is Testing Its Own Delivery Service to Rival FedEx and UPS [VIDEO]  http://dtn.fm/lKn5X  #amzn http://fb.me/95UV8X12h "
AMZN,2017-10-06,"Amazon Is Testing Its Own Delivery Service to Rival FedEx and UPS [VIDEO]  http://dtn.fm/lKn5X  #amzn http://fb.me/9Gv442kma "
AMZN,2017-10-06,"Amazon Is Testing Its Own Delivery Service to Rival FedEx and UPS [VIDEO]  http://dtn.fm/lKn5X  #amzn http://fb.me/9fua247bO "
AMZN,2017-10-06,"Amazon Is Testing Its Own Delivery Service to Rival FedEx and UPS [VIDEO] http://dtn.fm/lKn5X  #amzn http://fb.me/EAslyxRt "
